# time, e, electric_fld, photo, N4_plus, N3_min, O2_min, O4_plus, O_min, O2_plus, N2_plus
0.000000000000000000e+00,1.000000000000000000e+09,1.659158675642357906e+06,6.368606299162484375e+12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+09
5.000000000000000311e-10,9.846699576149725914e+08,1.659156077024274971e+06,5.456222152167080000e+14,5.768371144397399426e+08,1.358282366126920970e+05,3.955072910026501864e+06,2.854000978728286177e+07,1.286104392639016919e+07,3.955945187425633073e+08,3.354971168647764716e+04
1.000000000000000062e-09,9.854317067170522213e+08,1.659156253383476986e+06,2.394924523586414080e+17,3.252536721883428097e+08,5.355065350327482447e+05,7.859145814811599441e+06,9.942480520258137584e+07,2.519510168472621962e+07,5.879035416167106628e+08,5.299078341498426162e+06
1.500000000000000197e-09,3.135935205415494919e+09,1.659186532134880079e+06,1.981459081050000998e+19,1.621546009855046988e+09,1.215984554564320017e+06,1.367011353699743003e+07,1.921288990742627084e+08,4.343805273886232078e+07,8.345261200025458336e+08,5.737009208613619804e+08
2.000000000000000125e-09,3.034566867815042877e+10,1.659729661701753968e+06,1.385498600992449004e+20,2.059640950332928085e+10,3.285664171301980969e+06,6.495418286357568204e+07,5.244691966031361818e+08,2.099308031289918125e+08,5.645814254031496048e+09,4.592983038177396774e+09
2.500000000000000052e-09,1.853190089341983948e+11,1.662609057545346906e+06,6.042930895226605404e+20,1.270140296887760925e+11,1.643802178825449012e+07,4.225527583347461820e+08,3.054395181100055218e+09,1.378544026278242111e+09,4.029744298345844269e+10,2.291922626375574112e+10
3.000000000000000394e-09,6.900943377387741699e+11,1.668048244383004960e+06,1.782466903681997996e+21,4.584726841363784180e+11,8.504881525007462502e+07,1.955677600053713083e+09,1.645297831644046021e+10,6.410741901364183426e+09,1.836961085988226013e+11,6.998801563432321167e+10
3.500000000000000321e-09,1.948005886335047119e+12,1.684485731641897000e+06,3.703295452499279872e+21,1.248180072456740967e+12,3.579865793212754726e+08,6.894635394344962120e+09,6.806910282967534637e+10,2.319491438702449036e+10,6.240172270094829102e+11,1.513842452247033081e+11
4.000000000000000249e-09,3.988770849205237793e+12,1.710743351964602014e+06,5.537159906184745976e+21,2.384360292408185059e+12,1.175794681313848019e+09,1.832064922480136108e+10,2.147486029040451050e+11,6.439280047649098206e+10,1.566035734311217041e+12,2.294380119983927002e+11
4.500000000000000590e-09,6.771330479803154297e+12,1.746033156985857990e+06,7.823317894325670511e+21,3.742211803544844238e+12,3.090296009339048862e+09,3.892366754918829346e+10,5.332835780841707153e+11,1.449482173362124939e+11,3.089408378650657227e+12,3.240433610912852173e+11
5.000000000000000105e-09,1.062867593691182031e+13,1.791544519850323908e+06,1.153535669957363027e+22,5.551526562519949219e+12,6.852878010392847061e+09,7.170615516409645081e+10,1.110709453302657959e+12,2.868261392687730713e+11,5.296959257502010742e+12,4.751551482272244873e+11
5.500000000000000446e-09,1.638071426640482031e+13,1.851007037203198997e+06,1.814812187803533915e+22,8.366256800994499023e+12,1.346971020794203949e+10,1.214343065071123047e+11,2.061226375220501953e+12,5.306911078994188232e+11,8.501852491936768555e+12,7.429457230039739990e+11
6.000000000000000787e-09,2.503386682371794922e+13,1.926378792166186962e+06,2.962784765163736138e+22,1.291236242661321094e+13,2.380932076622563171e+10,1.923998189867307129e+11,3.492174113023237793e+12,9.341359162859724121e+11,1.311319456111781055e+13,1.207069973868476074e+12
6.500000000000000301e-09,4.055081046236022656e+13,2.039474370414271019e+06,5.311902275515155743e+22,2.169575490435278125e+13,4.042769848692047119e+10,3.046815614039136963e+11,5.832299403652857422e+12,1.718347400642908936e+12,2.105445287732101953e+13,2.150968407905208008e+12
7.000000000000000643e-09,6.953789142417453906e+13,2.211247198967405129e+06,1.014014240168623011e+23,3.897983232650129688e+13,6.521250984727725220e+10,4.820783258124862061e+11,9.669520288068765625e+12,3.341510256044971191e+12,3.525364477088225000e+13,4.089251834035275879e+12
7.500000000000000984e-09,1.269592838971520938e+14,2.494596550831094850e+06,2.079557611467862872e+23,7.518624623389670312e+13,9.869253794253720093e+10,7.763589112031046143e+11,1.630611104448252930e+13,7.101240280071046875e+12,6.285262786762470312e+13,8.389121286623698242e+12
8.000000000000000498e-09,2.486569830203026875e+14,3.002094519044708926e+06,4.724429291695997693e+23,1.568888180747785938e+14,1.319030462841360016e+11,1.304302593165201904e+12,2.827588681910644922e+13,1.660440156687888086e+13,1.209181077534164062e+14,1.930977136662380078e+13
8.500000000000000012e-09,6.614128445967732500e+14,4.163994046530767810e+06,1.861736700350210033e+24,4.538776410594238125e+14,1.461401326628793030e+11,2.854977026654248047e+12,5.496264219872960938e+13,4.735432577452040625e+13,3.031381886997656250e+14,8.172609966661562500e+13
9.000000000000001181e-09,1.047618684583628000e+16,7.877330985683708452e+06,3.507293379885610157e+25,7.570169191219491000e+15,1.465793055448088989e+11,1.491308737010359961e+13,2.008332374795928125e+14,3.110234094884466250e+14,4.131825958439558000e+15,3.889854465830109000e+15
9.500000000000000695e-09,9.077968812564273562e+19,7.777262101633836282e+05,1.168518129916980060e+26,5.715059638027910349e+19,1.083022263802370000e+16,1.372688485432004960e+17,1.533109505298659072e+18,8.399533474158809600e+17,3.249214323195534950e+19,6.045788469721043200e+17
1.000000000000000021e-08,9.029106412382683136e+19,6.430703510487630265e+05,8.415424119337820598e+24,3.161348831371395072e+19,5.334229712250004800e+16,5.923117870436637440e+17,7.638460026010113024e+18,7.951346939227264000e+17,5.249085156704183910e+19,4.756146692006135000e+14
1.050000000000000138e-08,8.968954325544124416e+19,5.252252763728299178e+05,1.426920485960428999e+24,1.728795912773859942e+19,9.610793045333835200e+16,1.056344870740754048e+18,1.540237324477793075e+19,7.476123352955425280e+17,5.890931420022104064e+19,7.089466786792985938e+13
1.100000000000000089e-08,8.898106452898037760e+19,4.551032919663166977e+05,5.159491452238399715e+23,9.453264728365084672e+18,1.377543053827563040e+17,1.528546191474768896e+18,2.343076202201910886e+19,7.014518415153886720e+17,5.847228448537092096e+19,2.421654399790719922e+13
1.150000000000000041e-08,8.817123756159472435e+19,4.188121858781834017e+05,2.388024393072234998e+23,5.168988491320694784e+18,1.773682549297977920e+17,2.004992266166704896e+18,3.104647036159531827e+19,6.575796421588633600e+17,5.480132183065454182e+19,1.104479768866205078e+13
1.200000000000000157e-08,8.727333840784959078e+19,3.996053258534934721e+05,1.197122008307649951e+23,2.826295745170757120e+18,2.146265367932147840e+17,2.481015111406388224e+18,3.795395107799965696e+19,6.162089504533765120e+17,4.980996244220257894e+19,5.504912128153796875e+12
1.250000000000000109e-08,8.630300811263203738e+19,3.893395116262272932e+05,6.300320694490050121e+22,1.545321195213571072e+18,2.494919144372947840e+17,2.953756650291654144e+18,4.405650044927636275e+19,5.773289072498536960e+17,4.448622384616508621e+19,2.882689996657648926e+12
1.300000000000000060e-08,8.527424942527188173e+19,3.845923999838184100e+05,3.456913997538887991e+22,8.449083264918351360e+17,2.820228439641042880e+17,3.420907038663621120e+18,4.935770085982483251e+19,5.408579996420666240e+17,3.931957736112929178e+19,1.574630894971263916e+12
1.350000000000000012e-08,8.420003062915170304e+19,3.836159745771954767e+05,1.978115790357621060e+22,4.619453781256636800e+17,3.123184468274808320e+17,3.880976023845913088e+18,5.390847605176768922e+19,5.066853820993072000e+17,3.453347810807680205e+19,8.971131595522958984e+11
1.400000000000000129e-08,8.309172023026601165e+19,3.855342294089852949e+05,1.181241050904800946e+22,2.525587762203511040e+17,3.404918970920625280e+17,4.332851268903754752e+18,5.777923568895193907e+19,4.746907759268376320e+17,3.021167015271100006e+19,5.333919940903148193e+11
1.450000000000000080e-08,8.195927367388964454e+19,3.898014968754575821e+05,7.369326955873626489e+21,1.380784216189879040e+17,3.666606299749927680e+17,4.775730079547526144e+18,6.104538575841497907e+19,4.447520305697315200e+17,2.636650903711768986e+19,3.312415238748043213e+11
1.500000000000000197e-08,8.081112397000618803e+19,3.962606227917118813e+05,4.795013234501114397e+21,7.548863314690721600e+16,3.909408397624910720e+17,5.209044613320963072e+18,6.378014345926219366e+19,4.167494160090858240e+17,2.297567175422241178e+19,2.145644957528489990e+11
1.549999999999999983e-08,7.965464137030538035e+19,4.050101113054238958e+05,3.243840548470582149e+21,4.126965680456592000e+16,4.134435380411386240e+17,5.632272264295484416e+18,6.605134339815964672e+19,3.905685182462547840e+17,2.000166382193537024e+19,1.446136882834881897e+11
1.600000000000000100e-08,7.849614689204430438e+19,4.163852225507086841e+05,2.270274194863939125e+21,2.256187729383303200e+16,4.342725005207946240e+17,6.044945888386737152e+18,6.792019034667118592e+19,3.661018737023667200e+17,1.740199262328145920e+19,1.008957987754373932e+11
