Time_s      	Field_Td   	Electrons_cm-3
0.0	        15.13522   	35366.93192
7.02576E-6	30.52288   	1.90981E6
1.52225E-5	48.19969	1.45004E6
2.45902E-5	67.87603	3.96968E6
3.27869E-5	84.49968	2.61715E6
4.09836E-5	100.43998	201125.38837
4.91803E-5	115.43724	2.19148E6
5.50351E-5	125.29767	7.80113E6
5.97190E-5	132.46205	1.47013E7
6.44028E-5	138.77855	2.50974E7
6.67447E-5	141.5243	3.39272E7
7.02576E-5	145.09904	4.12609E7
7.37705E-5	148.14193	4.58681E7
7.96253E-5	152.22503	5.00036E7
8.54801E-5	155.23994	5.07886E7
9.25059E-5	157.69585	4.88065E7
9.71897E-5	158.75438	4.50703E7
1.06557E-4	159.77012	3.73512E7
1.14754E-4	159.55758	2.88689E7
1.21780E-4	158.65946	2.12814E7
1.28806E-4	157.11704	1.37565E7
1.37002E-4	154.35376	7.74821E6
1.48712E-4	148.13891	2.44807E6
1.60422E-4	138.88766	633757.58838
1.73302E-4	125.02365	2430.07511
1.88525E-4	103.87548	155758.17854
2.07260E-4	71.67468	80503.29776
2.22482E-4	41.7155	   	734486.09866
2.42389E-4	0.57491	   	2.62555E6
2.50000e-4	15.13522   	35366.93192

