#         TIME             E          N2^+             O          O2^-          O2^+           O^-            N2            O2
0.0000000E+00 1.0000000E+03 1.0000000E+03 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1.9579710E+19 4.8949275E+18
5.0000000E-10 9.8461962E+02 2.5080353E+03 1.0345151E+02 6.8199987E-01 8.7898697E+02 1.0345151E+02 1.9579710E+19 4.8949275E+18
1.0000000E-09 9.8533894E+02 3.9928765E+03 2.0531190E+02 1.3535103E+00 1.7444548E+03 2.0531190E+02 1.9579710E+19 4.8949275E+18
1.5000000E-09 3.1372780E+03 5.4788024E+03 3.0724671E+02 2.0255114E+00 2.6105549E+03 3.0724671E+02 1.9579710E+19 4.8949275E+18
2.0000000E-09 3.0353964E+04 1.0209928E+04 6.3180286E+02 4.1651345E+00 5.3681813E+03 6.3180286E+02 1.9579710E+19 4.8949275E+18
2.5000000E-09 1.8530938E+05 5.6017563E+04 3.7720468E+03 2.4859983E+01 3.2061033E+04 3.7720468E+03 1.9579710E+19 4.8949275E+18
3.0000000E-09 6.8978238E+05 3.3668119E+05 2.2945548E+04 1.5110907E+02 1.9539263E+05 2.2945548E+04 1.9579710E+19 4.8949275E+18
3.5000000E-09 1.9471669E+06 1.3885208E+06 9.4332968E+04 6.2029305E+02 8.0599152E+05 9.4332968E+04 1.9579710E+19 4.8949275E+18
4.0000000E-09 3.9873231E+06 4.4187900E+06 2.9599641E+05 1.9384233E+03 2.5520754E+06 2.9599641E+05 1.9579710E+19 4.8949275E+18
4.5000000E-09 6.7693352E+06 1.0826131E+07 7.0942323E+05 4.6174392E+03 6.2014469E+06 7.0942323E+05 1.9579710E+19 4.8949275E+18
5.0000000E-09 1.0626494E+07 2.2174194E+07 1.4124511E+06 9.1183369E+03 1.2567653E+07 1.4124511E+06 1.9579710E+19 4.8949275E+18
5.5000000E-09 1.6380085E+07 4.0957921E+07 2.5182141E+06 1.6091806E+04 2.2908445E+07 2.5182141E+06 1.9579710E+19 4.8949275E+18
6.0000000E-09 2.5040493E+07 7.1911077E+07 4.2265713E+06 2.6666703E+04 3.9552969E+07 4.2265713E+06 1.9579710E+19 4.8949275E+18
6.5000000E-09 4.0582591E+07 1.2322967E+08 6.8454709E+06 4.2503649E+04 6.6384445E+07 6.8454709E+06 1.9579710E+19 4.8949275E+18
7.0000000E-09 6.9646286E+07 2.1656091E+08 1.1107209E+07 6.7406201E+04 1.1331653E+08 1.1107209E+07 1.9579710E+19 4.8949275E+18
7.5000000E-09 1.2729482E+08 4.0481031E+08 1.8461150E+07 1.0832223E+05 2.0310062E+08 1.8461150E+07 1.9579710E+19 4.8949275E+18
8.0000000E-09 2.4973452E+08 8.4095138E+08 3.2003504E+07 1.7820545E+05 3.9628519E+08 3.2003504E+07 1.9579710E+19 4.8949275E+18
8.5000000E-09 6.6770213E+08 2.0625670E+09 5.8815969E+07 3.0109757E+05 8.8459188E+08 5.8815969E+07 1.9579710E+19 4.8949275E+18
9.0000000E-09 1.0953662E+10 8.0586749E+09 1.3095892E+08 5.6943078E+05 2.9454420E+09 1.3095892E+08 1.9579710E+19 4.8949275E+18
9.5000000E-09 9.0704129E+13 3.0757979E+11 1.2691228E+09 3.4305290E+06 8.7759803E+10 1.2691228E+09 1.9579710E+19 4.8949274E+18
1.0000000E-08 9.0264998E+13 2.4439500E+13 8.8429308E+12 8.5149705E+10 2.9332408E+13 8.8429308E+12 1.9579686E+19 4.8948893E+18
1.0500000E-08 8.9799604E+13 3.8941410E+13 1.7498646E+13 1.7553573E+11 5.1705995E+13 1.7498646E+13 1.9579671E+19 4.8948582E+18
1.1000000E-08 8.9323221E+13 4.6976429E+13 2.5940922E+13 2.7132533E+11 6.8275690E+13 2.5940922E+13 1.9579663E+19 4.8948330E+18
1.1500000E-08 8.8838042E+13 5.2054641E+13 3.4201353E+13 3.7071174E+11 8.1456418E+13 3.4201353E+13 1.9579658E+19 4.8948115E+18
1.2000000E-08 8.8347645E+13 5.5856153E+13 4.2325153E+13 4.7199533E+11 9.2869669E+13 4.2325153E+13 1.9579654E+19 4.8947919E+18
1.2500000E-08 8.7855722E+13 5.9043535E+13 5.0346444E+13 5.7413074E+11 1.0331714E+14 5.0346444E+13 1.9579651E+19 4.8947733E+18
1.3000000E-08 8.7363963E+13 6.1908430E+13 5.8288028E+13 6.7651945E+11 1.1320929E+14 5.8288028E+13 1.9579648E+19 4.8947554E+18
1.3500000E-08 8.6873793E+13 6.4606632E+13 6.6166249E+13 7.7876933E+11 1.2279092E+14 6.6166249E+13 1.9579646E+19 4.8947378E+18
1.4000000E-08 8.6386132E+13 6.7237191E+13 7.3993372E+13 8.8060144E+11 1.3222823E+14 7.3993372E+13 1.9579643E+19 4.8947204E+18
1.4500000E-08 8.5901714E+13 6.9871059E+13 8.1778914E+13 9.8180693E+11 1.4164380E+14 8.1778914E+13 1.9579640E+19 4.8947031E+18
1.5000000E-08 8.5421164E+13 7.2566732E+13 8.9530656E+13 1.0822181E+12 1.5113785E+14 8.9530656E+13 1.9579638E+19 4.8946858E+18
1.5500000E-08 8.4944941E+13 7.5379396E+13 9.7255316E+13 1.1816898E+12 1.6080101E+14 9.7255316E+13 1.9579635E+19 4.8946683E+18
