      Time_s           E          AR        AR^+
  1.0000E-08  5.3176E+00  2.5000E+19  5.3176E+00
  2.0000E-08  2.8274E+01  2.5000E+19  2.8274E+01
  3.0000E-08  1.5033E+02  2.5000E+19  1.5033E+02
  4.0000E-08  7.9933E+02  2.5000E+19  7.9933E+02
  5.0000E-08  4.2501E+03  2.5000E+19  4.2501E+03
  6.0000E-08  2.2598E+04  2.5000E+19  2.2598E+04
  7.0000E-08  1.2015E+05  2.5000E+19  1.2015E+05
  8.0000E-08  6.3886E+05  2.5000E+19  6.3886E+05
  9.0000E-08  3.3969E+06  2.5000E+19  3.3969E+06
  1.0000E-07  1.8061E+07  2.5000E+19  1.8061E+07
  1.1000E-07  9.6032E+07  2.5000E+19  9.6032E+07
  1.2000E-07  5.1060E+08  2.5000E+19  5.1060E+08
  1.3000E-07  2.7148E+09  2.5000E+19  2.7148E+09
  1.4000E-07  1.4432E+10  2.5000E+19  1.4432E+10
  1.5000E-07  7.6665E+10  2.5000E+19  7.6665E+10
  1.6000E-07  4.0562E+11  2.5000E+19  4.0562E+11
  1.7000E-07  2.1017E+12  2.5000E+19  2.1017E+12
  1.8000E-07  9.8378E+12  2.5000E+19  9.8378E+12
  1.9000E-07  3.1986E+13  2.5000E+19  3.1986E+13
  2.0000E-07  5.5466E+13  2.5000E+19  5.5466E+13
  2.1000E-07  6.4355E+13  2.5000E+19  6.4355E+13
  2.2000E-07  6.6355E+13  2.5000E+19  6.6355E+13
  2.3000E-07  6.6744E+13  2.5000E+19  6.6744E+13
  2.4000E-07  6.6818E+13  2.5000E+19  6.6818E+13
  2.5000E-07  6.6831E+13  2.5000E+19  6.6831E+13
