       Time_s           01           02           03           04           05
   1.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   3.7076E-12   4.6345E-08
   2.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   1.9714E-11   2.4642E-07
   3.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   1.0482E-10   1.3102E-06
   4.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   5.5732E-10   6.9665E-06
   5.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   2.9633E-09   3.7041E-05
   6.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   1.5756E-08   1.9695E-04
   7.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   8.3775E-08   1.0472E-03
   8.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   4.4543E-07   5.5679E-03
   9.0000E-08   5.0000E+01   3.0000E+02   4.8431E+04   2.3684E-06   2.9605E-02
   1.0000E-07   5.0000E+01   3.0000E+02   4.8431E+04   1.2593E-05   1.5741E-01
   1.1000E-07   5.0000E+01   3.0000E+02   4.8431E+04   6.6957E-05   8.3696E-01
   1.2000E-07   5.0000E+01   3.0000E+02   4.8431E+04   3.5601E-04   4.4501E+00
   1.3000E-07   5.0000E+01   3.0000E+02   4.8431E+04   1.8929E-03   2.3661E+01
   1.4000E-07   5.0000E+01   3.0000E+02   4.8431E+04   1.0063E-02   1.2578E+02
   1.5000E-07   5.0000E+01   3.0000E+02   4.8431E+04   5.3453E-02   6.6817E+02
   1.6000E-07   5.0000E+01   3.0000E+02   4.8431E+04   2.8281E-01   3.5352E+03
   1.7000E-07   5.0000E+01   3.0000E+02   4.8431E+04   1.4653E+00   1.8317E+04
   1.8000E-07   5.0000E+01   3.0000E+02   4.8431E+04   6.8592E+00   8.5740E+04
   1.9000E-07   5.0000E+01   3.0000E+02   4.8431E+04   2.2301E+01   2.7877E+05
   2.0000E-07   5.0000E+01   3.0000E+02   4.8431E+04   3.8672E+01   4.8341E+05
   2.1000E-07   5.0000E+01   3.0000E+02   4.8431E+04   4.4870E+01   5.6088E+05
   2.2000E-07   5.0000E+01   3.0000E+02   4.8431E+04   4.6265E+01   5.7831E+05
