         Time_s                                                                                                                         1                                                                                                                         2                                                                                                                         3
   1.000000E-08   5.3176E+00   2.5000E+19   5.3176E+00
   2.000000E-08   2.8274E+01   2.5000E+19   2.8274E+01
   3.000000E-08   1.5033E+02   2.5000E+19   1.5033E+02
   4.000000E-08   7.9933E+02   2.5000E+19   7.9933E+02
   5.000000E-08   4.2501E+03   2.5000E+19   4.2501E+03
   6.000000E-08   2.2598E+04   2.5000E+19   2.2598E+04
   7.000000E-08   1.2015E+05   2.5000E+19   1.2015E+05
   8.000000E-08   6.3886E+05   2.5000E+19   6.3886E+05
   9.000000E-08   3.3969E+06   2.5000E+19   3.3969E+06
   1.000000E-07   1.8061E+07   2.5000E+19   1.8061E+07
   1.100000E-07   9.6032E+07   2.5000E+19   9.6032E+07
   1.200000E-07   5.1060E+08   2.5000E+19   5.1060E+08
   1.300000E-07   2.7148E+09   2.5000E+19   2.7148E+09
   1.400000E-07   1.4432E+10   2.5000E+19   1.4432E+10
   1.500000E-07   7.6665E+10   2.5000E+19   7.6665E+10
   1.600000E-07   4.0562E+11   2.5000E+19   4.0562E+11
   1.700000E-07   2.1017E+12   2.5000E+19   2.1017E+12
   1.800000E-07   9.8378E+12   2.5000E+19   9.8378E+12
   1.900000E-07   3.1986E+13   2.5000E+19   3.1986E+13
   2.000000E-07   5.5466E+13   2.5000E+19   5.5466E+13
   2.100000E-07   6.4355E+13   2.5000E+19   6.4355E+13
   2.200000E-07   6.6355E+13   2.5000E+19   6.6355E+13
