          Time         dTime           E/N             E            AR           AR*          AR^+         AR2^+       AR(W)^+      AR2(W)^+          E(W)             1             2             3             4             5             6             7             8             9            10            11            12            13             V             J           J/S         theta      P*Lambda
  1.000000E-19  1.000000E-19  7.766399E+01  1.000000E+06  3.218831E+18  1.141074E-04  1.000000E+06  2.331196E-07  5.521642E-10  1.725369E-22  5.521642E-10  1.155356E+14  1.141074E+15  3.201473E-06  8.035364E-07  6.296671E-09  1.895440E-18  7.812298E-18  1.058254E-11  1.655153E+01  2.331196E+12  5.521642E+09  1.287203E-03  5.521642E+09  9.999491E+02  5.094899E-07  1.013628E-06  2.533941E-09  1.011123E+01
  2.894556E-08  7.496032E-10  7.755606E+01  2.830102E+07  3.218831E+18  2.695056E+08  2.775919E+07  5.418298E+05  1.283363E+03  2.278232E+01  1.306146E+03  3.260147E+15  3.224985E+16  2.139708E+08  5.369221E+07  4.142245E+05  4.405489E-06  4.357996E+07  2.354293E-07  3.909238E+13  6.471212E+13  1.532559E+11  2.991393E+09  1.562473E+11  9.985592E+02  1.440828E-05  2.866521E-05  2.528523E-09  1.011123E+01
  6.716802E-08  1.306739E-10  7.128083E+01  1.737922E+09  3.218831E+18  1.854151E+10  1.698204E+09  3.971789E+07  9.345672E+04  2.029243E+03  9.548596E+04  1.494942E+17  1.735379E+18  8.936875E+11  2.193968E+11  1.880605E+09  3.229366E-04  2.062726E+11  5.752018E-02  2.689487E+15  3.958847E+15  9.256835E+12  2.165005E+11  9.473336E+12  9.176866E+02  8.231340E-04  1.637621E-03  2.161811E-09  1.011123E+01
  7.721217E-08  8.395531E-11  6.513739E+01  3.683525E+09  3.218831E+18  4.316551E+10  3.583485E+09  1.000406E+08  2.335494E+05  5.627903E+03  2.391773E+05  2.283505E+17  3.184754E+18  4.356326E+12  1.044884E+12  1.013024E+10  8.134064E-04  1.117957E+12  5.791440E-01  6.261252E+15  8.353806E+15  1.927346E+13  5.380597E+11  1.981152E+13  8.385254E+02  1.614746E-03  3.212529E-03  1.828267E-09  1.011123E+01
  8.501384E-08  7.478181E-11  5.988575E+01  5.615658E+09  3.218831E+18  7.239313E+10  5.433898E+09  1.817601E+08  4.209714E+05  1.138741E+04  4.323588E+05  2.529518E+17  4.236784E+18  1.101440E+13  2.586110E+12  2.828911E+10  1.477848E-03  3.144459E+12  2.155983E+00  1.050078E+16  1.266748E+16  2.887230E+13  9.657584E+11  2.983806E+13  7.708641E+02  2.291359E-03  4.558648E-03  1.564419E-09  1.011123E+01
  9.245002E-08  7.513505E-11  5.535954E+01  7.531081E+09  3.218831E+18  1.070683E+11  7.239388E+09  2.916929E+08  6.701871E+05  2.058833E+04  6.907754E+05  2.483989E+17  4.993221E+18  2.162256E+13  4.978010E+12  6.133856E+10  2.371685E-03  6.878175E+12  5.430570E+00  1.553050E+16  1.687643E+16  3.804085E+13  1.532760E+12  3.957362E+13  7.125535E+02  2.874465E-03  5.718736E-03  1.352696E-09  1.011123E+01
  1.001906E-07  8.008512E-11  5.144299E+01  9.419142E+09  3.218831E+18  1.480852E+11  8.980748E+09  4.383935E+08  9.991466E+05  3.525664E+04  1.034403E+06  2.292174E+17  5.524664E+18  3.704853E+13  8.375875E+12  1.160885E+11  3.564473E-03  1.315754E+13  1.103231E+01  2.148009E+16  2.093589E+16  4.671305E+13  2.280289E+12  4.899334E+13  6.621707E+02  3.378293E-03  6.721099E-03  1.181242E-09  1.011123E+01
  1.086406E-07  8.930517E-11  4.803345E+01  1.127840E+10  3.218831E+18  1.965142E+11  1.064615E+10  6.322548E+08  1.429503E+06  5.855828E+04  1.488061E+06  2.044978E+17  5.893268E+18  5.835999E+13  1.297625E+13  2.017146E+11  5.140712E-03  2.317070E+13  1.954545E+01  2.850482E+16  2.481826E+16  5.486715E+13  3.258456E+12  5.812560E+13  6.181953E+02  3.818047E-03  7.595988E-03  1.040884E-09  1.011123E+01
  1.181369E-07  1.014335E-10  4.502065E+01  1.311612E+10  3.218831E+18  2.537192E+11  1.222985E+10  8.862695E+08  1.988195E+06  9.541676E+04  2.083612E+06  1.785198E+17  6.141581E+18  8.692228E+13  1.903139E+13  3.307051E+11  7.206045E-03  3.862406E+13  3.154955E+01  3.680253E+16  2.851018E+16  6.249589E+13  4.528934E+12  6.702482E+13  5.793344E+02  4.206656E-03  8.369123E-03  9.241529E-10  1.011123E+01
  1.290178E-07  1.165357E-10  4.234960E+01  1.494244E+10  3.218831E+18  3.213811E+11  1.372588E+10  1.216567E+09  2.708464E+06  1.534780E+05  2.861942E+06  1.526199E+17  6.286158E+18  1.244796E+14  2.685749E+13  5.199443E+11  9.891611E-03  6.197149E+13  4.764212E+01  4.661703E+16  3.199771E+16  6.958143E+13  6.167215E+12  7.574864E+13  5.450879E+02  4.549121E-03  9.050456E-03  8.253826E-10  1.011123E+01
  1.416600E-07  1.366257E-10  3.994726E+01  1.675225E+10  3.218831E+18  4.013163E+11  1.510911E+10  1.643132E+09  3.631002E+06  2.445766E+05  3.875579E+06  1.298762E+17  6.375665E+18  1.730623E+14  3.684413E+13  7.911360E+11  1.335991E-02  9.663286E+13  6.809897E+01  5.821180E+16  3.522230E+16  7.604107E+13  8.269545E+12  8.431061E+13  5.139470E+02  4.860530E-03  9.670002E-03  7.416720E-10  1.011123E+01
  1.564998E-07  1.606275E-10  3.779202E+01  1.856212E+10  3.218830E+18  4.960356E+11  1.637186E+10  2.190251E+09  4.805081E+06  3.870036E+05  5.192085E+06  1.087171E+17  6.394416E+18  2.354287E+14  4.947292E+13  1.173982E+12  1.780841E-02  1.476308E+14  9.349159E+01  7.195104E+16  3.816602E+16  8.182215E+13  1.094628E+13  9.276844E+13  4.863872E+02  5.136128E-03  1.021830E-02  6.693811E-10  1.011123E+01
  1.740658E-07  1.911084E-10  3.582781E+01  2.035881E+10  3.218830E+18  6.079950E+11  1.747133E+10  2.887483E+09  6.289441E+06  6.089252E+05  6.898366E+06  9.106482E+16  6.388042E+18  3.145646E+14  6.532229E+13  1.704733E+12  2.347742E-02  2.217948E+14  1.234918E+02  8.819099E+16  4.072908E+16  8.676523E+13  1.433967E+13  1.011049E+14  4.608945E+02  5.391055E-03  1.072548E-02  6.070240E-10  1.011123E+01
  1.949421E-07  2.270917E-10  3.406264E+01  2.214546E+10  3.218830E+18  7.401486E+11  1.837894E+10  3.766520E+09  8.146073E+06  9.525582E+05  9.098631E+06  7.540374E+16  6.335109E+18  4.140953E+14  8.500643E+13  2.428727E+12  3.062467E-02  3.286919E+14  1.579718E+02  1.073601E+17  4.284491E+16  9.071936E+13  1.859173E+13  1.093111E+14  4.383729E+02  5.616271E-03  1.117355E-02  5.529552E-10  1.011123E+01
  2.198452E-07  2.710198E-10  3.244228E+01  2.392728E+10  3.218830E+18  8.960329E+11  1.906267E+10  4.864616E+09  1.044624E+07  1.481404E+06  1.192765E+07  6.248110E+16  6.266227E+18  5.386896E+14  1.094042E+14  3.401977E+12  3.955301E-02  4.817249E+14  1.961764E+02  1.299715E+17  4.443879E+16  9.356675E+13  2.387737E+13  1.174441E+14  4.175114E+02  5.824886E-03  1.158858E-02  5.055282E-10  1.011123E+01
  2.495489E-07  3.236836E-10  3.098285E+01  2.567541E+10  3.218830E+18  1.078135E+12  1.945848E+10  6.216929E+09  1.325261E+07  2.286967E+06  1.553958E+07  5.178456E+16  6.183064E+18  6.920051E+14  1.391451E+14  4.681600E+12  5.054834E-02  6.974249E+14  2.360328E+02  1.563858E+17  4.536150E+16  9.501466E+13  3.035692E+13  1.253716E+14  3.986525E+02  6.013475E-03  1.196378E-02  4.643930E-10  1.011123E+01
  2.848877E-07  3.850051E-10  2.963965E+01  2.741591E+10  3.218830E+18  1.290685E+12  1.956113E+10  7.854784E+09  1.661702E+07  3.498269E+06  2.011529E+07  4.291843E+16  6.089562E+18  8.804194E+14  1.753759E+14  6.336423E+12  6.386534E-02  9.995203E+14  2.764856E+02  1.872165E+17  4.560079E+16  9.505542E+13  3.816957E+13  1.332250E+14  3.812530E+02  6.187470E-03  1.230994E-02  4.279634E-10  1.011123E+01
  3.268013E-07  4.522863E-10  2.840205E+01  2.915303E+10  3.218829E+18  1.537385E+12  1.934655E+10  9.806489E+09  2.057733E+07  5.293457E+06  2.587079E+07  3.526760E+16  5.974326E+18  1.109985E+15  2.190781E+14  8.438795E+12  7.973418E-02  1.418131E+15  3.158530E+02  2.230009E+17  4.510055E+16  9.356921E+13  4.742891E+13  1.409981E+14  3.656888E+02  6.343112E-03  1.261959E-02  3.957430E-10  1.011123E+01
  3.760645E-07  5.311489E-10  2.726616E+01  3.086795E+10  3.218829E+18  1.819356E+12  1.878877E+10  1.207918E+10  2.511775E+07  7.896736E+06  3.301449E+07  2.934414E+16  5.872161E+18  1.385039E+15  2.710925E+14  1.103732E+13  9.821290E-02  1.986035E+15  3.505295E+02  2.639014E+17  4.380026E+16  9.048659E+13  5.817327E+13  1.486599E+14  3.506769E+02  6.493231E-03  1.291825E-02  3.668961E-10  1.011123E+01
  4.330866E-07  6.093733E-10  2.622629E+01  3.256732E+10  3.218829E+18  2.136382E+12  1.791656E+10  1.465076E+10  3.015352E+07  1.156216E+07  4.171568E+07  2.435107E+16  5.757358E+18  1.709110E+15  3.318443E+14  1.416236E+13  1.191218E-01  2.738477E+15  3.788964E+02  3.098865E+17  4.176695E+16  8.593830E+13  7.027365E+13  1.562119E+14  3.372974E+02  6.627026E-03  1.318444E-02  3.413757E-10  1.011123E+01
  4.977263E-07  6.835686E-10  2.525827E+01  3.425553E+10  3.218828E+18  2.485017E+12  1.678746E+10  1.746807E+10  3.552702E+07  1.653600E+07  5.206301E+07  2.023663E+16  5.639452E+18  2.083113E+15  4.013594E+14  1.780704E+13  1.420286E-01  3.705186E+15  3.996592E+02  3.604567E+17  3.913480E+16  8.021236E+13  8.346437E+13  1.636767E+14  3.248832E+02  6.751168E-03  1.343142E-02  3.184626E-10  1.011123E+01
  5.691407E-07  7.432434E-10  2.436148E+01  3.593399E+10  3.218828E+18  2.858028E+12  1.548097E+10  2.045303E+10  4.102514E+07  2.299997E+07  6.402511E+07  1.691584E+16  5.523072E+18  2.504298E+15  4.790282E+14  2.192410E+13  1.662985E-01  4.900995E+15  4.121495E+02  4.145626E+17  3.608911E+16  7.370524E+13  9.737732E+13  1.710826E+14  3.133056E+02  6.866944E-03  1.366175E-02  2.977893E-10  1.011123E+01
  6.455322E-07  7.822777E-10  2.353445E+01  3.758994E+10  3.218828E+18  3.242477E+12  1.408714E+10  2.350280E+10  4.639317E+07  3.098539E+07  7.737856E+07  1.423517E+16  5.406833E+18  2.962137E+15  5.627010E+14  2.641407E+13  1.910955E-01  6.308193E+15  4.167059E+02  4.703275E+17  3.283981E+16  6.684244E+13  1.115191E+14  1.783615E+14  3.026862E+02  6.973138E-03  1.387303E-02  2.792751E-10  1.011123E+01
  7.246701E-07  7.983077E-10  2.275683E+01  3.924632E+10  3.218827E+18  3.628224E+12  1.272245E+10  2.652387E+10  5.141742E+07  4.036970E+07  9.178712E+07  1.204927E+16  5.292397E+18  3.449539E+15  6.509636E+14  3.119011E+13  2.156590E-01  7.898407E+15  4.162225E+02  5.262808E+17  2.965847E+16  6.017306E+13  1.254492E+14  1.856223E+14  2.926379E+02  7.073621E-03  1.407294E-02  2.623351E-10  1.011123E+01
  8.044009E-07  7.953090E-10  2.202906E+01  4.089834E+10  3.218827E+18  4.003891E+12  1.144529E+10  2.945305E+10  5.596688E+07  5.091534E+07  1.068822E+08  1.024783E+16  5.175646E+18  3.954688E+15  7.415199E+14  3.616772E+13  2.394754E-01  9.618688E+15  4.123523E+02  5.807719E+17  2.668116E+16  5.396453E+13  1.388710E+14  1.928356E+14  2.833838E+02  7.166162E-03  1.425705E-02  2.469670E-10  1.011123E+01
  8.828653E-07  7.729199E-10  2.134966E+01  4.253669E+10  3.218827E+18  4.359935E+12  1.028750E+10  3.224919E+10  5.998039E+07  6.231941E+07  1.222998E+08  8.811484E+15  5.061801E+18  4.465925E+15  8.323075E+14  4.126798E+13  2.622101E-01  1.140542E+16  4.062051E+02  6.324165E+17  2.398211E+16  4.836479E+13  1.516137E+14  1.999785E+14  2.747659E+02  7.252341E-03  1.442850E-02  2.330024E-10  1.011123E+01
  9.588242E-07  7.456358E-10  2.071147E+01  4.416495E+10  3.218826E+18  4.692314E+12  9.266534E+09  3.489841E+10  6.346635E+07  7.429937E+07  1.377657E+08  7.675527E+15  4.954714E+18  4.976848E+15  9.222097E+14  4.645213E+13  2.837502E-01  1.321069E+16  3.992985E+02  6.806286E+17  2.160205E+16  4.344658E+13  1.636228E+14  2.070694E+14  2.664192E+02  7.335808E-03  1.459456E-02  2.200993E-10  1.011123E+01
