
AR PLASMA WITH DIFFUSION AND EXTERNAL CIRCUIT

pression, Pa           = 1.00E+02
gap length, cm         = 4.00E-01
channel radius, cm     = 4.00E-01
voltage, V             = 1.00E+03
resistance, Ohm        = 1.00E+05
gas temperature, K     = 3.00E+02
electrin density, cm-3 = 1.00E+06
end time, s            = 1.00E-03
PRESS ENTER TO CONTINUE ...
ZDPlasKin (version 2.0a) INIT:
  species        ... 8
  reactions      ... 13
  BOLSIG+ loader ... bolsigdb.dat : 2 species & 5 collisions
  species  link  ... 2
  process  link  ... 4
ZDPlasKin INFO: reset data and configuration
ZDPlasKin INFO: set accuracy 1.00D-10 (absolute) & 1.00D-05 (relative)
ZDPlasKin INIT DONE

        Time_s       dtime_s         EN_Td     Elec_cm-3
  1.000000E-19  1.000000E-19  7.766399E+01  1.000000E+06
  2.894556E-08  7.496032E-10  7.755606E+01  2.830102E+07
  6.716802E-08  1.306739E-10  7.128083E+01  1.737922E+09
  7.721217E-08  8.395531E-11  6.513739E+01  3.683525E+09
  8.501384E-08  7.478181E-11  5.988575E+01  5.615658E+09
  9.245002E-08  7.513505E-11  5.535954E+01  7.531081E+09
  1.001906E-07  8.008512E-11  5.144299E+01  9.419142E+09
  1.086406E-07  8.930517E-11  4.803345E+01  1.127840E+10
  1.181369E-07  1.014335E-10  4.502065E+01  1.311612E+10
  1.290178E-07  1.165357E-10  4.234960E+01  1.494244E+10
  1.416600E-07  1.366257E-10  3.994726E+01  1.675225E+10
  1.564998E-07  1.606275E-10  3.779202E+01  1.856212E+10
  1.740658E-07  1.911084E-10  3.582781E+01  2.035881E+10
  1.949421E-07  2.270917E-10  3.406264E+01  2.214546E+10
  2.198452E-07  2.710198E-10  3.244228E+01  2.392728E+10
  2.495489E-07  3.236836E-10  3.098285E+01  2.567541E+10
  2.848877E-07  3.850051E-10  2.963965E+01  2.741591E+10
  3.268013E-07  4.522863E-10  2.840205E+01  2.915303E+10
  3.760645E-07  5.311489E-10  2.726616E+01  3.086795E+10
