          TIME           E/N             E             N            N2         N2(A)         N2(B)        N2(A')         N2(C)           N^+          N2^+          N3^+          N4^+
   7.02576E-06   2.28291E+01   9.72588E+05   1.60861E-23   2.44746E+19   2.86291E+04   3.95749E+00   3.40047E+01   3.94423E-02   3.30911E-55   7.04360E-17   1.07590E-27   1.40654E-11
   1.52225E-05   3.93613E+01   1.67992E+06   6.70299E-09   2.44746E+19   8.34617E+07   1.00474E+04   1.79688E+05   1.10092E+03   3.38805E-27   7.05989E-03   5.62207E-10   1.86966E+02
   2.45902E-05   5.80379E+01   2.70986E+06   1.04400E-03   2.44746E+19   5.14743E+09   5.47474E+05   1.73971E+07   1.84130E+05   2.64786E-18   1.66044E+02   8.37031E-04   4.30461E+05
   3.27869E-05   7.61879E+01   3.29342E+06   5.97558E+00   2.44746E+19   3.87723E+10   4.27211E+06   1.93544E+08   2.48995E+06   1.38913E-12   1.66990E+05   5.77902E+00   1.89962E+07
   4.09836E-05   9.24698E+01   1.40914E+06   1.60121E+03   2.44746E+19   7.68079E+10   5.16147E+06   2.87980E+08   4.03618E+06   2.61755E-09   1.69905E+07   1.59176E+03   6.80769E+07
   4.91803E-05   1.07939E+02   1.19630E+06   5.36543E+04   2.44746E+19   1.40416E+11   8.87922E+06   5.68926E+08   8.36775E+06   2.99981E-07   2.90444E+08   5.35180E+04   3.12256E+07
   5.50351E-05   1.20367E+02   4.99630E+06   7.31261E+05   2.44746E+19   4.41530E+11   5.65642E+07   3.93984E+09   5.94995E+07   4.00926E-05   2.02814E+09   7.28841E+05   8.74529E+06
   5.97190E-05   1.28880E+02   1.12512E+07   6.23708E+06   2.44746E+19   1.12627E+12   1.62113E+08   1.18253E+10   1.81175E+08   1.73008E-03   7.18913E+09   6.21907E+06   2.91799E+06
   6.44028E-05   1.35620E+02   1.98994E+07   4.38632E+07   2.44746E+19   2.54191E+12   3.41078E+08   2.56432E+10   3.97002E+08   4.51592E-02   2.02571E+10   4.37657E+07   1.15314E+06
   6.67447E-05   1.40151E+02   2.95123E+07   1.02364E+08   2.44746E+19   3.69145E+12   5.63076E+08   4.31262E+10   6.71726E+08   2.01592E-01   3.23894E+10   1.02156E+08   4.69914E+05
   7.02576E-05   1.43312E+02   3.75940E+07   3.42750E+08   2.44746E+19   6.02145E+12   7.77618E+08   6.00550E+10   9.40758E+08   1.39520E+00   5.91855E+10   3.42190E+08   3.23673E+05
   7.37705E-05   1.46620E+02   4.35645E+07   9.56077E+08   2.44746E+19   8.82842E+12   9.82906E+08   7.63590E+10   1.20385E+09   7.08755E+00   9.49436E+10   9.54889E+08   1.83311E+05
   7.96253E-05   1.50183E+02   4.79358E+07   3.68609E+09   2.44746E+19   1.40239E+13   1.21614E+09   9.39918E+10   1.49731E+09   5.59260E+01   1.69854E+11   3.68354E+09   1.04501E+05
   8.54801E-05   1.53732E+02   5.03961E+07   1.00477E+10   2.44746E+19   1.93018E+13   1.45090E+09   1.11059E+11   1.78847E+09   2.63942E+02   2.57923E+11   1.00457E+10   4.96254E+04
   9.25059E-05   1.56468E+02   4.97976E+07   2.48296E+10   2.44746E+19   2.49190E+13   1.63819E+09   1.22891E+11   2.00289E+09   1.02767E+03   3.67841E+11   2.48403E+10   2.84369E+04
   9.71897E-05   1.58225E+02   4.69384E+07   3.98048E+10   2.44746E+19   2.78939E+13   1.69179E+09   1.25072E+11   2.05416E+09   2.08356E+03   4.36715E+11   3.98411E+10   1.86579E+04
   1.06557E-04   1.59262E+02   4.12108E+07   8.12479E+10   2.44746E+19   3.15773E+13   1.68528E+09   1.20932E+11   2.00915E+09   5.54375E+03   5.48358E+11   8.14147E+10   1.64645E+04
